node_id,node_type,label,degree
painting::Artists2/Francesco Guardi/San Giorgio Maggiore.jpg,painting,San Giorgio Maggiore,7
painting::Artists2/Francesco Guardi/Church Of Santa Maria Zobenigo.jpg,painting,Church Of Santa Maria Zobenigo,8
painting::Artists2/Francesco Guardi/Bridge At Dolo.jpg,painting,Bridge At Dolo,10
painting::Artists2/Francesco Guardi/The Fire At San Marcuola 1789.jpg,painting,The Fire At San Marcuola 1789,5
painting::Artists2/Francesco Guardi/Fire In The Oil Depot At San Marcuola.jpg,painting,Fire In The Oil Depot At San Marcuola,9
painting::Artists2/Francesco Guardi/Outward Voyage Of The Bucintoro To San Nicol Del Lido 1788.jpg,painting,Outward Voyage Of The Bucintoro To San Nicol Del Lido 1788,7
painting::Artists2/Francesco Guardi/Hot Air Balloon Rising.jpg,painting,Hot Air Balloon Rising,6
painting::Artists2/Francesco Guardi/View Of The Campo San Zanipolo In Venice.jpg,painting,View Of The Campo San Zanipolo In Venice,8
painting::Artists2/Francesco Guardi/The Punta Di Dogana.jpg,painting,The Punta Di Dogana,8
color::#b1d4ba,color,#b1d4ba,24
painting::Artists2/Francesco Guardi/Pope Pius Vi Blessing The People On Campo Santi Giovanni E Paolo.jpg,painting,Pope Pius Vi Blessing The People On Campo Santi Giovanni E Paolo,6
painting::Artists2/Francesco Guardi/View Of The Molo Towards The Santa Maria Della Salute 1780.jpg,painting,View Of The Molo Towards The Santa Maria Della Salute 1780,7
painting::Artists2/Francesco Guardi/Venice Il Rio Dei Mendicanti.jpg,painting,Venice Il Rio Dei Mendicanti,6
painting::Artists2/Francesco Guardi/Venetian Capriccio 1780.jpg,painting,Venetian Capriccio 1780,5
painting::Artists2/Francesco Guardi/The Molo From The Bacino 1780.jpg,painting,The Molo From The Bacino 1780,3
painting::Artists2/Francesco Guardi/The Grand Canal With Santa Lucia And The Scalzi.jpg,painting,The Grand Canal With Santa Lucia And The Scalzi,11
painting::Artists2/Francesco Guardi/The Grand Canal With San Simeone Piccolo And Santa Lucia.jpg,painting,The Grand Canal With San Simeone Piccolo And Santa Lucia,9
painting::Artists2/Francesco Guardi/San Giorgio Maggiore 1780.jpg,painting,San Giorgio Maggiore 1780,3
painting::Artists2/Francesco Guardi/Landscape.jpg,painting,Landscape,8
painting::Artists2/Francesco Guardi/City View 1780.jpg,painting,City View 1780,10
color::#d4b1ba,color,#d4b1ba,18
painting::Artists2/Francesco Guardi/Piazza San Marco 1.jpg,painting,Piazza San Marco 1,9
painting::Artists2/Francesco Guardi/Doge Alvise Iv Mocenigo Appears To The People In St Mark S Basilica 1777.jpg,painting,Doge Alvise Iv Mocenigo Appears To The People In St Mark S Basilica 1777,4
painting::Artists2/Francesco Guardi/An Architectural Caprice.jpg,painting,An Architectural Caprice,6
painting::Artists2/Francesco Guardi/View Of The Island Of San Giorgio Maggiore 1775.jpg,painting,View Of The Island Of San Giorgio Maggiore 1775,8
painting::Artists2/Francesco Guardi/Venice The Dogana With The Giudecca.jpg,painting,Venice The Dogana With The Giudecca,10
painting::Artists2/Francesco Guardi/Venice San Giorgio Maggiore.jpg,painting,Venice San Giorgio Maggiore,5
painting::Artists2/Francesco Guardi/The Feast Of The Ascension.jpg,painting,The Feast Of The Ascension,7
painting::Artists2/Francesco Guardi/Landscape With A Fisherman S 1775.jpg,painting,Landscape With A Fisherman S 1775,6
painting::Artists2/Francesco Guardi/The Basin Of Saint Mark S Square With San Giorgio And The Giudecca C 1774 Oil On Canvas 1774.jpg,painting,The Basin Of Saint Mark S Square With San Giorgio And The Giudecca C 1774 Oil On Canvas 1774,9
painting::Artists2/Francesco Guardi/View Of Piazzetta San Marco Towards The San Giorgio Maggiore.jpg,painting,View Of Piazzetta San Marco Towards The San Giorgio Maggiore,7
painting::Artists2/Francesco Guardi/The Torre Del Orologio 1770 1.jpg,painting,The Torre Del Orologio 1770 1,8
painting::Artists2/Francesco Guardi/The Torre Del Orologio 1770.jpg,painting,The Torre Del Orologio 1770,3
painting::Artists2/Francesco Guardi/The Three Arched Bridge At Cannaregio 1770.jpg,painting,The Three Arched Bridge At Cannaregio 1770,8
painting::Artists2/Francesco Guardi/The Lagoon Looking Toward Murano From The Fondamenta Nuove 1770.jpg,painting,The Lagoon Looking Toward Murano From The Fondamenta Nuove 1770,8
painting::Artists2/Francesco Guardi/The Gondola On The Lagoon 1770.jpg,painting,The Gondola On The Lagoon 1770,6
painting::Artists2/Francesco Guardi/The Doge On The Bucintoro Near The Riva Di Sant Elena 1770.jpg,painting,The Doge On The Bucintoro Near The Riva Di Sant Elena 1770,10
painting::Artists2/Francesco Guardi/The Doge On The Bucentaur At San Niccol Del Lido 1770.jpg,painting,The Doge On The Bucentaur At San Niccol Del Lido 1770,8
