path,author_name,painting_name,image_url,x,y
Artists2/Fernand Leger/Composition Mechanical Movement Cart.jpg,Fernand Leger,Composition Mechanical Movement Cart,https://uploads3.wikiart.org/images/fernand-leger/composition-mechanical-movement-cart.jpg!Large.jpg,0.0010144930137326819,-0.027944505757282967
Artists2/Fernand Leger/Composition Of The Medallion Final.jpg,Fernand Leger,Composition Of The Medallion Final,https://uploads1.wikiart.org/images/fernand-leger/composition-of-the-medallion-final.jpg!Large.jpg,0.02053568006611538,0.04331849763080744
Artists2/Fernand Leger/Composition With The Three Figures 1932.jpg,Fernand Leger,Composition With The Three Figures 1932,https://uploads6.wikiart.org/images/fernand-leger/composition-with-the-three-figures-1932.jpg!Large.jpg,0.011792327473624638,0.01918832349327904
Artists2/Fernand Leger/Composition With The Two Parrots 1939.jpg,Fernand Leger,Composition With The Two Parrots 1939,https://uploads4.wikiart.org/images/fernand-leger/composition-with-the-two-parrots-1939.jpg!Large.jpg,0.012990132557569025,0.022591518357954365
Artists2/Fernand Leger/Composition With Two Sailors 1951.jpg,Fernand Leger,Composition With Two Sailors 1951,https://uploads0.wikiart.org/images/fernand-leger/composition-with-two-sailors-1951.jpg!Large.jpg,0.009268101594233597,0.009310023247486532
Artists2/Fernand Leger/Creation Of The World 1924.jpg,Fernand Leger,Creation Of The World 1924,https://uploads2.wikiart.org/images/fernand-leger/creation-of-the-world-1924.jpg!Large.jpg,-0.10318403446775054,0.02289193267911411
Artists2/Fernand Leger/Creation Of The World.jpg,Fernand Leger,Creation Of The World,https://uploads6.wikiart.org/images/fernand-leger/creation-of-the-world.jpg!Large.jpg,-0.06967546683941153,0.015173987956627763
Artists2/Fernand Leger/Dancer In Blue Veil.jpg,Fernand Leger,Dancer In Blue Veil,https://uploads4.wikiart.org/images/fernand-leger/dancer-in-blue-veil.jpg!Large.jpg,-0.040748862086854964,0.0070469790416982595
Artists2/Fernand Leger/Diver On A Yellow Background.jpg,Fernand Leger,Diver On A Yellow Background,https://uploads4.wikiart.org/images/fernand-leger/diver-on-a-yellow-background.jpg!Large.jpg,-0.0021522398925730908,-0.014610618860196697
Artists2/Fernand Leger/Divers Polychrome.jpg,Fernand Leger,Divers Polychrome,https://uploads2.wikiart.org/images/fernand-leger/divers-polychrome.jpg!Large.jpg,-0.0026607154191410267,-0.014898697859060199
Artists2/Fernand Leger/Draft Costume Front 1929 1.jpg,Fernand Leger,Draft Costume Front 1929 1,https://uploads2.wikiart.org/images/fernand-leger/draft-costume-front-1929-1.jpg!Large.jpg,-0.10202196234513278,0.022615034086853152
Artists2/Fernand Leger/Draft Costume Front 1929.jpg,Fernand Leger,Draft Costume Front 1929,https://uploads0.wikiart.org/images/fernand-leger/draft-costume-front-1929.jpg!Large.jpg,-0.10048399524403834,0.02228357694296108
Artists2/Fernand Leger/Drawing Of Ground Plan For The Office Of Jean Zay 1937.jpg,Fernand Leger,Drawing Of Ground Plan For The Office Of Jean Zay 1937,https://uploads3.wikiart.org/images/fernand-leger/drawing-of-ground-plan-for-the-office-of-jean-zay-1937.jpg!Large.jpg,-0.072270885699268,0.01600209095298679
Artists2/Fernand Leger/Eiffel Tower.jpg,Fernand Leger,Eiffel Tower,https://uploads6.wikiart.org/images/fernand-leger/eiffel-tower.jpg!Large.jpg,-0.03015249225499824,-0.01511483812249781
Artists2/Fernand Leger/Face By Hand On A Red Background.jpg,Fernand Leger,Face By Hand On A Red Background,https://uploads8.wikiart.org/images/fernand-leger/face-by-hand-on-a-red-background.jpg!Large.jpg,0.011738030421192997,0.02588430613431113
Artists2/Fernand Leger/Face With Both Hands 1954.jpg,Fernand Leger,Face With Both Hands 1954,https://uploads1.wikiart.org/images/fernand-leger/face-with-both-hands-1954.jpg!Large.jpg,0.017214159989600582,0.04407461061002633
Artists2/Fernand Leger/Factories 1918.jpg,Fernand Leger,Factories 1918,https://uploads8.wikiart.org/images/fernand-leger/factories-1918.jpg!Large.jpg,-0.021657172082926744,-0.008621551999792428
Artists2/Fernand Leger/Fishermen 1921.jpg,Fernand Leger,Fishermen 1921,https://uploads8.wikiart.org/images/fernand-leger/fishermen-1921.jpg!Large.jpg,0.0067821518560594995,-0.014380701746371242
Artists2/Fernand Leger/Flower Lamp 1951.jpg,Fernand Leger,Flower Lamp 1951,https://uploads1.wikiart.org/images/fernand-leger/flower-lamp-1951.jpg!Large.jpg,0.0016246974587866875,-0.04308109416391558
Artists2/Fernand Leger/Fourth State Church Of Assy 1947.jpg,Fernand Leger,Fourth State Church Of Assy 1947,https://uploads8.wikiart.org/images/fernand-leger/fourth-state-church-of-assy-1947.jpg!Large.jpg,-0.0962191130086924,0.021489572967207743
Artists2/Fernand Leger/Freedom I Write Your Name 1953.jpg,Fernand Leger,Freedom I Write Your Name 1953,https://uploads6.wikiart.org/images/fernand-leger/freedom-i-write-your-name-1953.jpg!Large.jpg,-0.06994516635879046,0.01550636416533201
Artists2/Fernand Leger/Fuel Pump.jpg,Fernand Leger,Fuel Pump,https://uploads2.wikiart.org/images/fernand-leger/fuel-pump.jpg,-0.03963285178258239,0.003381114919601124
Artists2/Fernand Leger/Green Fruit On A Blue Background 1952.jpg,Fernand Leger,Green Fruit On A Blue Background 1952,https://uploads4.wikiart.org/images/fernand-leger/green-fruit-on-a-blue-background-1952.jpg!Large.jpg,0.006356601438898828,-0.038668072484428356
Artists2/Fernand Leger/Green Leaf 1945.jpg,Fernand Leger,Green Leaf 1945,https://uploads0.wikiart.org/images/fernand-leger/green-leaf-1945.jpg!Large.jpg,-0.011568387826544714,-0.019741974748525095
Artists2/Fernand Leger/Head Constructor 1950.jpg,Fernand Leger,Head Constructor 1950,https://uploads6.wikiart.org/images/fernand-leger/head-constructor-1950.jpg!Large.jpg,0.015648938144536866,0.01382596021695795
Artists2/Fernand Leger/Hive.jpg,Fernand Leger,Hive,https://uploads6.wikiart.org/images/fernand-leger/hive.jpg,-0.0470735578691066,0.006623994391371208
Artists2/Fernand Leger/Horse Head On A Yellow Background 1953.jpg,Fernand Leger,Horse Head On A Yellow Background 1953,https://uploads5.wikiart.org/images/fernand-leger/horse-head-on-a-yellow-background-1953.jpg!Large.jpg,0.001484087778637115,-0.005359164099373556
Artists2/Fernand Leger/Houses In The Trees Landscape N 3 1914.jpg,Fernand Leger,Houses In The Trees Landscape N 3 1914,https://uploads5.wikiart.org/images/fernand-leger/houses-in-the-trees-landscape-n-3-1914.jpg!Large.jpg,-0.030938361132016288,-0.015250659058148782
Artists2/Fernand Leger/Kindergarten 1954.jpg,Fernand Leger,Kindergarten 1954,https://uploads1.wikiart.org/images/fernand-leger/kindergarten-1954.jpg,-0.0266430020716963,-0.006789235394781484
Artists2/Fernand Leger/Lamp And Flower The Candlestick 1951.jpg,Fernand Leger,Lamp And Flower The Candlestick 1951,https://uploads3.wikiart.org/images/fernand-leger/lamp-and-flower-the-candlestick-1951.jpg!Large.jpg,0.0014221736248381481,-0.03150457807727237
Artists2/Fernand Leger/Landscape 1913.jpg,Fernand Leger,Landscape 1913,https://uploads8.wikiart.org/images/fernand-leger/landscape-1913.jpg!Large.jpg,-0.01896360676992008,-0.009906655223959959
