source,target,weight
#d4bab1,#212a07,3
#d4bab1,#252a15,10
#d4bab1,#bad4b1,3
#d4bab1,#1a2a15,4
#d4bab1,#708040,5
#d4bab1,#152a1a,1
#d4bab1,#801631,6
#2a2823,#2a2523,211
#2a2823,#803116,71
#2a2823,#805040,225
#2a2823,#807040,138
#2a2823,#80706b,66
#2a2823,#807b6b,132
#2a2823,#2a2515,149
#2a2823,#d4ba6a,96
#2a2823,#d4cbb1,147
#2a2823,#15252a,14
#2a2823,#232a28,24
#2a2823,#6b7b80,6
#2a2823,#d4856a,107
#2a2823,#2a2325,26
#2a2823,#806616,9
#2a2823,#d45124,23
#2a2823,#2a2107,13
#2a2823,#70806b,5
#2a2823,#407080,2
#2a2823,#801631,5
#2a2823,#151a2a,4
#2a2823,#405080,2
#2a2823,#b1d4ba,1
#2a2823,#232a25,25
#2a2823,#252a23,22
#2a2823,#252a15,12
#2a2823,#6b7080,4
#2a2823,#152a25,6
#2a2823,#2a2328,19
#2a2823,#2a151a,8
#2a2823,#708040,7
#2a2823,#25232a,5
#2a2823,#b1cbd4,4
#2a2823,#cbd4b1,10
#2a2823,#6b807b,7
#2a2823,#6abad4,1
#2a2823,#b1d4cb,2
#2a2823,#1a2a15,2
#2a2823,#804050,2
#2a2823,#152a1a,1
#804050,#2a151a,34
#804050,#2a1525,6
#804050,#801631,9
#804050,#803116,13
#804050,#805040,55
#804050,#807040,15
#804050,#d45124,7
#804050,#d4856a,38
#804050,#2a0710,4
#804050,#80706b,22
#804050,#d4cbb1,22
#804050,#6b7080,3
#804050,#2a2325,16
#804050,#2a2328,8
#804050,#807b6b,6
#804050,#cbd4b1,5
#804050,#151a2a,3
#804050,#1a152a,3
#804050,#25152a,3
#804050,#25232a,4
#804050,#28232a,6
#804050,#806b70,12
#804050,#2a2523,12
#804050,#d4ba6a,20
#804050,#405080,1
#804050,#407080,4
#804050,#d4b1ba,3
#804050,#252a23,1
#804050,#708040,1
#804050,#6abad4,1
#804050,#6b7b80,1
#804050,#b1cbd4,2
#804050,#bad4b1,2
#804050,#70806b,1
#252a23,#2a2523,11
#252a23,#70806b,9
#252a23,#80706b,4
