painting_id,motif,weight
painting::Artists2/Diego Velazquez/Queen Mariana 1657.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/Portrait Of Mariana Of Austria Queen Of Spain 1657.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/Queen Mariana 1656.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/Queen Mariana 1653.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/Arachne A Sybil.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/The Needlewoman 1643.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/The Lady With A Fan.jpg,female-portraits,1
painting::Artists2/Gian Lorenzo Bernini/Mathilde Of Tuscany Sun.jpg,female-portraits,1
painting::Artists2/Gian Lorenzo Bernini/Sepulchre Of Matilda The Great Countess 1633.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of Dona Polyxena Spinola Guzm De Lagan S.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of An Unknown Woman.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of A Lady Dressed In Black Before A Red Curtain.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Anna Wake.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of Maria Lugia De Tassis 1629.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of A Lady Presumed To Be The Marquise Geromina Spinola Doria De Genes Oil On Canvas.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Maria Bosschaerts Wife Of Adriaen Stevens.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of Marchesa Balbi 1627.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of A Noble Genoese Lady 1627.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Wife Of An Aristocratic Genoese 1626.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Marchesa Geronima Spinola 1626.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of Marchesa Elena Grimaldi Wife Of Marchese Nicola Cattaneo 1623.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Teresia Lady Shirley 1622.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of A Noblewoman 1622.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of A Flemish Lady 1621.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Isabella Brandt 1621.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/Queen Isabel Of Bourbon Equestrian 1635.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/Portrait Of Queen Margaret Of Austria 1635.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/A Young Lady.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/Portrait Of A Lady 1633.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/Queen Isabella Of Spain Wife Of Philip Iv 1632.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/Queen Isabel Standing 1632.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/A Sibyl 1631.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/The Infanta Maria Of Austria 1630.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/Dona Antonia De Ipenarrieta Y Galdos And Her Son.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/Isabella Of Bourbon.jpg,female-portraits,1
painting::Artists2/Gian Lorenzo Bernini/Bust Of Camilla Barberini Nee Barbadori 1618 1.jpg,female-portraits,1
painting::Artists2/Le Nain Brothers/Two Girls.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Margareta Snyders.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/Madre Maria Jeronima De La Fuente 1620.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/The Immaculate Conception.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/Kitchen Scene With The Supper In Emmaus 1618.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/Head Of A Girl 1618.jpg,female-portraits,1
painting::Artists2/Diego Velazquez/An Old Woman Cooking Eggs 1618.jpg,female-portraits,1
painting::Artists2/Matthias Stom/Old Woman With A Candle.jpg,female-portraits,1
painting::Artists2/Nicolas Tournier/Montb Liard.jpg,female-portraits,1
painting::Artists2/Jacob Jordaens/Portrait Of A Lady Sitting In A Chair.jpg,female-portraits,1
