painting_id,motif,weight
painting::Artists2/Theodoor Van Thulden/Francoise Van Bever.jpg,female-portraits,1
painting::Artists2/Judith Leyster/Portrait Of A Woman.jpg,female-portraits,1
painting::Artists2/Judith Leyster/Girl With A Straw Hat.jpg,female-portraits,1
painting::Artists2/Judith Leyster/Girl With A Lute 1631.jpg,female-portraits,1
painting::Artists2/Adriaen Van Ostade/An Old Woman By Window.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Portrait Of A Young Woman 1640.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Portrait Of A Woman 1640.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Old Woman Praying.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Woman Eating Porridge.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Portrait Of An Old Woman Reading.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Rembrandt S Mother.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of A Girl As Erminia Accompanied By Cupid 1638.jpg,female-portraits,1
painting::Artists2/Francisco De Zurbaran/Old Woman Spinning.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of A Lady.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Queen Henrietta Maria.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of Lady D Aubigny 1638.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Lady Borlase 1638.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Diana Cecil Countess Of Oxford 1638.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Lady Lucy Percy.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Lady Elizabeth Thimbleby And Dorothy Viscountess Andover 1637.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Queen Henrietta Maria 1635.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of Isabella Van Assche Wife Of Justus Van Meerstraten D 1639 1634 35 Oil On Canvas 1635.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of Anne Carr Countess Of Bedford.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of Anna Van Craesbecke 1635.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of A Lady 1635.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of Marguerite Of Lorraine Duchess Of Orleans 1634.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Queen Henrietta Maria And Her Dwarf Sir Jeffrey Hudson 1633.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of Queen Henrietta Maria.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of Anna Dalkeith Countess Of Morton And Lady Anna Kirk.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Marie De Raet 1631.jpg,female-portraits,1
painting::Artists2/Anthony Van Dyck/Portrait Of Maria Louisa De Tassis.jpg,female-portraits,1
