node_id,node_type,label,degree
painting::Artists2/Corneliu Michailescu/Composition With Romanian Motifs.jpg,painting,Composition With Romanian Motifs,7
painting::Artists2/Corneliu Michailescu/Harlequins.jpg,painting,Harlequins,8
painting::Artists2/Marevna Marie Vorobieff/The March Down Rue De La Gatti In Paris.jpg,painting,The March Down Rue De La Gatti In Paris,4
painting::Artists2/Marevna Marie Vorobieff/Self Portrait.jpg,painting,Self Portrait,8
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Ossip Zadkine.jpg,painting,Portrait Of Ossip Zadkine,5
painting::Artists2/Marevna Marie Vorobieff/The Atelier Of Diego Rivera In Rue Du D Part Diego Rivera Ehrenbourg And Juan Gris Paris In.jpg,painting,The Atelier Of Diego Rivera In Rue Du D Part Diego Rivera Ehrenbourg And Juan Gris Paris In,3
painting::Artists2/Marevna Marie Vorobieff/Dedicated To Friends Of Montparnasse.jpg,painting,Dedicated To Friends Of Montparnasse,6
color::#806b7b,color,#806b7b,22
painting::Artists2/Marevna Marie Vorobieff/Portrait Of A Stylist Germinal Rangel.jpg,painting,Portrait Of A Stylist Germinal Rangel,5
color::#7b806b,color,#7b806b,177
painting::Artists2/Marevna Marie Vorobieff/ 1.jpg,painting,1,6
painting::Artists2/Marevna Marie Vorobieff/Boy With Grapes.jpg,painting,Boy With Grapes,5
painting::Artists2/Marevna Marie Vorobieff/In The Caf Rotonde.jpg,painting,In The Caf Rotonde,3
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Osip Zadkine.jpg,painting,Portrait Of Osip Zadkine,3
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Young Woman.jpg,painting,Portrait Of Young Woman,5
painting::Artists2/Marevna Marie Vorobieff/Still Life Of Fish.jpg,painting,Still Life Of Fish,7
painting::Artists2/Marevna Marie Vorobieff/Not Identified 7.jpg,painting,Not Identified 7,7
color::#6b807b,color,#6b807b,66
painting::Artists2/Marevna Marie Vorobieff/Portrait.jpg,painting,Portrait,9
color::#bad4b1,color,#bad4b1,98
color::#70806b,color,#70806b,70
painting::Artists2/Marevna Marie Vorobieff/Portrait Of David Hodge And Girlfriend.jpg,painting,Portrait Of David Hodge And Girlfriend,8
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Catherine Dolan.jpg,painting,Portrait Of Catherine Dolan,5
color::#cbb1d4,color,#cbb1d4,20
color::#bab1d4,color,#bab1d4,32
painting::Artists2/Marevna Marie Vorobieff/Portrait Of The Artist S Daughter Marika Rivera Aged 23 With A Lover.jpg,painting,Portrait Of The Artist S Daughter Marika Rivera Aged 23 With A Lover,3
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Two Girls.jpg,painting,Portrait Of Two Girls,3
painting::Artists2/Marevna Marie Vorobieff/Not Identified 8.jpg,painting,Not Identified 8,8
painting::Artists2/Marevna Marie Vorobieff/The Bathers.jpg,painting,The Bathers,10
color::#408050,color,#408050,16
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Girl.jpg,painting,Portrait Of Girl,3
painting::Artists2/Marevna Marie Vorobieff/Maria Holding A Bird.jpg,painting,Maria Holding A Bird,4
painting::Artists2/Marevna Marie Vorobieff/Dance.jpg,painting,Dance,4
painting::Artists2/Marevna Marie Vorobieff/Diego Modi Ehrenburg.jpg,painting,Diego Modi Ehrenburg,5
painting::Artists2/Marevna Marie Vorobieff/Not Identified 5.jpg,painting,Not Identified 5,7
painting::Artists2/Marevna Marie Vorobieff/Cubist Sunflowers.jpg,painting,Cubist Sunflowers,6
color::#508040,color,#508040,37
color::#708040,color,#708040,91
painting::Artists2/Marevna Marie Vorobieff/Claude Lamorrise With Two Tibetan Dogs.jpg,painting,Claude Lamorrise With Two Tibetan Dogs,7
painting::Artists2/Marevna Marie Vorobieff/Athelhampton Garden.jpg,painting,Athelhampton Garden,5
