color_a,color_b,shared_paintings
#2a1007,#24a8d4,8
#2a1007,#803116,184
#2a1007,#166680,12
#2a1007,#2a2515,78
#2a1007,#1a152a,6
#2a1007,#806b7b,4
#2a1007,#6a85d4,5
#2a1007,#708040,15
#2a1007,#bad46a,2
#2a1007,#7b6b80,2
#2a1007,#70806b,4
#2a1007,#2a2823,10
#2a1007,#807b6b,48
#2a1007,#cbd4b1,27
#2a1007,#6b7b80,5
#2a1007,#252a23,1
#2a1007,#b1cbd4,13
#2a1007,#6b8070,4
#2a1007,#b1d4ba,7
#2a1007,#bad4b1,7
#2a1007,#668016,6
#2a1007,#d4b1cb,11
#2a1007,#cbb1d4,6
#2a1007,#d4b1ba,27
#2a1007,#b1bad4,6
#2a1007,#504080,7
#2a1007,#706b80,3
#2a1007,#23282a,1
#2a1007,#212a07,3
#2a1007,#408050,1
