node_id,node_type,label,degree
painting::Artists2/Hans Holbein The Younger/Portrait Of Charles De Solier.jpg,painting,Portrait Of Charles De Solier,1
painting::Artists2/Hans Holbein The Younger/Mrs Pemberton.jpg,painting,Mrs Pemberton,1
painting::Artists2/Hans Holbein The Younger/Design For A Pendant.jpg,painting,Design For A Pendant,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Bishop John Fisher.jpg,painting,Portrait Of Bishop John Fisher,1
painting::Artists2/Hans Holbein The Younger/Unknown Gentleman With Music Books And Lute.jpg,painting,Unknown Gentleman With Music Books And Lute,1
painting::Artists2/Hans Holbein The Younger/Portrait Of A Lady Thought To Be Anne Boleyn.jpg,painting,Portrait Of A Lady Thought To Be Anne Boleyn,2
painting::Artists2/Hans Holbein The Younger/Design For A Table Fountain With The Badge Of Anne Boleyn.jpg,painting,Design For A Table Fountain With The Badge Of Anne Boleyn,1
painting::Artists2/Hans Holbein The Younger/Triumph Of Wealth.jpg,painting,Triumph Of Wealth,1
painting::Artists2/Hans Holbein The Younger/The Triumph Of Riches.jpg,painting,The Triumph Of Riches,1
painting::Artists2/Hans Holbein The Younger/The Ambassadors 1533.jpg,painting,The Ambassadors 1533,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Thomas Cromwell.jpg,painting,Portrait Of Thomas Cromwell,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Sir Nicholas Carew.jpg,painting,Portrait Of Sir Nicholas Carew,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Robert Cheseman 1533.jpg,painting,Portrait Of Robert Cheseman 1533,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Dirk Tybis 1533.jpg,painting,Portrait Of Dirk Tybis 1533,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Derich Born 1533.jpg,painting,Portrait Of Derich Born 1533,1
painting::Artists2/Hans Holbein The Younger/Portrait Of A Member Of The Wedigh Family 1533.jpg,painting,Portrait Of A Member Of The Wedigh Family 1533,1
painting::Artists2/Hans Holbein The Younger/Lady Elyot.jpg,painting,Lady Elyot,1
painting::Artists2/Hans Holbein The Younger/Portrait Of An Old Man.jpg,painting,Portrait Of An Old Man,1
painting::Artists2/Hans Holbein The Younger/Thomas More.jpg,painting,Thomas More,1
painting::Artists2/Hans Holbein The Younger/Sir Henry Guildford 1527.jpg,painting,Sir Henry Guildford 1527,2
painting::Artists2/Hans Holbein The Younger/Portrait Of William Warham Archbishop Of Canberbury 1527.jpg,painting,Portrait Of William Warham Archbishop Of Canberbury 1527,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Sir Thomas More 1527.jpg,painting,Portrait Of Sir Thomas More 1527,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Sir Henry Guildford 1527.jpg,painting,Portrait Of Sir Henry Guildford 1527,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Sir Brian Tuke.jpg,painting,Portrait Of Sir Brian Tuke,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Mary Wotton Lady Guildenford 1527.jpg,painting,Portrait Of Mary Wotton Lady Guildenford 1527,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Lady Mary Guildford 1527.jpg,painting,Portrait Of Lady Mary Guildford 1527,1
painting::Artists2/Hans Holbein The Younger/Lady With A Squirrel And A Starling.jpg,painting,Lady With A Squirrel And A Starling,3
painting::Artists2/Hans Holbein The Younger/Lais Corinthiaca 1526.jpg,painting,Lais Corinthiaca 1526,1
painting::Artists2/Hans Holbein The Younger/Christ As The True Light.jpg,painting,Christ As The True Light,2
painting::Artists2/Hans Holbein The Younger/Anna Meyer.jpg,painting,Anna Meyer,1
painting::Artists2/Hans Holbein The Younger/Venus And Amor.jpg,painting,Venus And Amor,3
motif::Cupid-and-Psyche,motif,Cupid-and-Psyche,20
painting::Artists2/Hans Holbein The Younger/The Last Supper.jpg,painting,The Last Supper,3
painting::Artists2/Hans Holbein The Younger/The Rich Man The Queen.jpg,painting,The Rich Man The Queen,1
painting::Artists2/Hans Holbein The Younger/The Plowman.jpg,painting,The Plowman,1
painting::Artists2/Hans Holbein The Younger/The Passion.jpg,painting,The Passion,2
painting::Artists2/Hans Holbein The Younger/The Noble Lady.jpg,painting,The Noble Lady,1
painting::Artists2/Hans Holbein The Younger/Portrait Of A Woman.jpg,painting,Portrait Of A Woman,1
painting::Artists2/Hans Holbein The Younger/Noli Me Tangere.jpg,painting,Noli Me Tangere,3
painting::Artists2/Hans Holbein The Younger/Jeanne De Boulogne Duchess Of Berry 1524.jpg,painting,Jeanne De Boulogne Duchess Of Berry 1524,2
painting::Artists2/Hans Holbein The Younger/Printer S Device Of Johannes Froben.jpg,painting,Printer S Device Of Johannes Froben,1
painting::Artists2/Hans Holbein The Younger/Title Plate With St Peter And St Paul 1523.jpg,painting,Title Plate With St Peter And St Paul 1523,5
motif::St.-Peter,motif,St.-Peter,13
painting::Artists2/Hans Holbein The Younger/St Ursula.jpg,painting,St Ursula,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Erasmus Of Rotterdam Writing 1523.jpg,painting,Portrait Of Erasmus Of Rotterdam Writing 1523,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Erasmus Of Rotterdam 1523.jpg,painting,Portrait Of Erasmus Of Rotterdam 1523,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Desiderius Erasmus 1523.jpg,painting,Portrait Of Desiderius Erasmus 1523,2
painting::Artists2/Hans Holbein The Younger/Portrait Of A Woman From Southern Germany.jpg,painting,Portrait Of A Woman From Southern Germany,1
painting::Artists2/Hans Holbein The Younger/Death And The Miser From The Dance Of Death 1523.jpg,painting,Death And The Miser From The Dance Of Death 1523,1
painting::Artists2/Hans Holbein The Younger/The Solothurn Madonna 1522.jpg,painting,The Solothurn Madonna 1522,3
painting::Artists2/Hans Holbein The Younger/Oberried Altarpiece Right Interior Wing The Birth Of Christ 1522.jpg,painting,Oberried Altarpiece Right Interior Wing The Birth Of Christ 1522,4
painting::Artists2/Hans Holbein The Younger/Oberried Altarpiece Left Interior Wing The Adoration Of The Magi 1522.jpg,painting,Oberried Altarpiece Left Interior Wing The Adoration Of The Magi 1522,3
painting::Artists2/Hans Holbein The Younger/Head Of A Woman 1522.jpg,painting,Head Of A Woman 1522,1
painting::Artists2/Hans Holbein The Younger/The Humiliation Of The Emperor Valerian By The Persian King Sapor 1521.jpg,painting,The Humiliation Of The Emperor Valerian By The Persian King Sapor 1521,2
painting::Artists2/Hans Holbein The Younger/The Body Of The Dead Christ In The Tomb 1521.jpg,painting,The Body Of The Dead Christ In The Tomb 1521,2
painting::Artists2/Hans Holbein The Younger/Diptych With Christ And The Mater Dolorosa.jpg,painting,Diptych With Christ And The Mater Dolorosa,3
painting::Artists2/Hans Holbein The Younger/Design For The Facade Decoration Of The Dance House In Basel 1520.jpg,painting,Design For The Facade Decoration Of The Dance House In Basel 1520,1
painting::Artists2/Hans Holbein The Younger/St John The Baptist.jpg,painting,St John The Baptist,3
painting::Artists2/Hans Holbein The Younger/Portrait Of Bonifacius Amerbach 1519.jpg,painting,Portrait Of Bonifacius Amerbach 1519,1
painting::Artists2/Hans Holbein The Younger/Leaena Before The Judges.jpg,painting,Leaena Before The Judges,2
painting::Artists2/Hans Holbein The Younger/Portrait Of A Boy With Chestnut Hair.jpg,painting,Portrait Of A Boy With Chestnut Hair,2
painting::Artists2/Hans Holbein The Younger/The Agony In The Garden.jpg,painting,The Agony In The Garden,3
painting::Artists2/Hans Holbein The Younger/Death Of The Virgin 1.jpg,painting,Death Of The Virgin 1,3
painting::Artists2/Jan Van Hemessen/Allegorical Scene.jpg,painting,Allegorical Scene,1
painting::Artists2/Jan Van Hemessen/St Jerome Praying Before A Rocky Grotto 1548.jpg,painting,St Jerome Praying Before A Rocky Grotto 1548,1
painting::Artists2/Jan Van Hemessen/St Jerome 1.jpg,painting,St Jerome 1,1
painting::Artists2/Jan Van Hemessen/Vanit.jpg,painting,Vanit,1
painting::Artists2/Jan Van Hemessen/Judith.jpg,painting,Judith,1
motif::female-nude,motif,female-nude,51
painting::Artists2/Jan Van Hemessen/Parable Of The Prodigal Son 4.jpg,painting,Parable Of The Prodigal Son 4,1
painting::Artists2/Jan Van Hemessen/Parable Of The Prodigal Son 3.jpg,painting,Parable Of The Prodigal Son 3,1
painting::Artists2/Jan Van Hemessen/Parable Of The Prodigal Son 2.jpg,painting,Parable Of The Prodigal Son 2,1
